"trust_code","ltla_code","source","p"
"rtx","e07000128","patient_postcode",0.0190114068441065
"rvj","e06000023","hospital_postcode",NA
"rvj","e06000023","patient_postcode",0.421875
"rvj","e06000024","patient_postcode",0.071875
"rvj","e06000025","patient_postcode",0.50625
"rvr","e09000029","hospital_postcode",NA
"rvr","e07000208","patient_postcode",0.247422680412371
"rvr","e07000210","patient_postcode",0.103092783505155
"rvr","e07000211","patient_postcode",0.0824742268041237
"rvr","e09000008","patient_postcode",0.0515463917525773
"rvr","e09000024","patient_postcode",0.123711340206186
"rvr","e09000029","patient_postcode",0.391752577319588
"rvv","e07000105","hospital_postcode",NA
"rvv","e07000106","hospital_postcode",NA
"rvv","e07000114","hospital_postcode",NA
"rvv","e06000035","patient_postcode",0.00686813186813187
"rvv","e07000105","patient_postcode",0.25
"rvv","e07000106","patient_postcode",0.135989010989011
"rvv","e07000108","patient_postcode",0.148351648351648
"rvv","e07000110","patient_postcode",0.0151098901098901
"rvv","e07000112","patient_postcode",0.221153846153846
"rvv","e07000113","patient_postcode",0.0618131868131868
"rvv","e07000114","patient_postcode",0.160714285714286
"rvw","e06000004","hospital_postcode",NA
"rvw","e06000001","patient_postcode",0.34297520661157
"rvw","e06000004","patient_postcode",0.557851239669422
"rvw","e06000047","patient_postcode",0.0991735537190083
"rvy","e08000014","hospital_postcode",NA
"rvy","e07000127","patient_postcode",0.357142857142857
"rvy","e08000014","patient_postcode",0.642857142857143
"rw6","e08000002","hospital_postcode",NA
"rw6","e08000004","hospital_postcode",NA
"rw6","e07000125","patient_postcode",0.00920245398773006
"rw6","e08000002","patient_postcode",0.177914110429448
"rw6","e08000003","patient_postcode",0.0204498977505112
"rw6","e08000004","patient_postcode",0.484662576687117
"rw6","e08000005","patient_postcode",0.307770961145194
"rwa","e06000011","hospital_postcode",NA
